Rank,State,Vote Power
1,Arizona,207.05
2,Iowa,189.88
3,Alaska,188.03
4,South Dakota,172.94
5,Ohio,141.06
6,Nevada,138.24
7,New Hampshire,122.18
8,North Carolina,119.15
9,Georgia,109.12
10,Florida,105.82
11,Missouri,94.65
12,Montana,92.97
13,Maine,87.19
14,North Dakota,82.99
15,South Carolina,78.02
16,Kansas,69
17,Indiana,60.24
18,Minnesota,53.72
19,Colorado,53.15
20,Texas,52.14
21,Wisconsin,48.67
22,Pennsylvania,43.52
23,New Mexico,40.99
24,Delaware,37.21
25,Nebraska,32.27
26,Michigan,31.94
27,Mississippi,31.27
28,Virginia,29.94
29,Wyoming,28.21
30,Rhode Island,27.47
31,Utah,26.49
32,Vermont,24.91
33,Kentucky,20.62
34,Tennessee,18.09
35,Louisiana,17.1
36,Oregon,15.47
37,Arkansas,11.09
38,New Jersey,10.86
39,Idaho,10.47
40,Washington,10.36
41,West Virginia,8.88
42,Connecticut,8.42
43,Oklahoma,5.22
44,Illinois,3.64
45,Alabama,2.88
46,Hawaii,2.86
47,Massachusetts,1.22
48,New York,1.12
49,District of Columbia,1.08
50,Maryland,0.43
51,California,0.37
